mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.5557822704315185,0.030033351327793598,0.08547167778015137,0.008033914340820535,3,4,100,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 100}",0.811205194835339,0.8053400624165196,0.7814689879788062,0.8078080786979889,0.7927997239358706,0.799724409572905,0.011044468139082064,140
2.273851251602173,0.04746295911373377,0.12031874656677247,0.006311814980301026,3,4,150,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 150}",0.8119219666900886,0.8052180727264286,0.7801244637728866,0.8027335713517039,0.7928798459964089,0.7985755841075033,0.011067273514727144,148
3.248843479156494,0.07762035492452384,0.17092061042785645,0.012294026197422122,3,4,200,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 200}",0.8126693348779206,0.8032577973172291,0.7756351112967992,0.806286702411624,0.796044270743813,0.7987786433294771,0.012747430734903592,144
4.597600984573364,0.06602084354640601,0.23537063598632812,0.007751705778288909,3,4,300,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 300}",0.8102746442912517,0.8070944719811443,0.776839182508182,0.8062579524089865,0.7928358185274993,0.7986604139434127,0.01244056530388667,147
8.021660470962525,0.37847776578190434,0.4001894950866699,0.012007588422128911,3,4,500,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 500}",0.8131380390493613,0.8059163812767323,0.780188425934718,0.8062762838326866,0.7954720458626079,0.8001982351912214,0.011487451639784521,139
8.64504632949829,0.4257549949028671,0.44202461242675783,0.04619537529605524,3,4,550,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 550}",0.8113869265033877,0.8064192425613984,0.7764438040315416,0.806678256346629,0.7955649927414172,0.7992986444368747,0.012550474396176264,141
1.7561054229736328,0.010822849126982295,0.08277840614318847,0.0010923189538121986,3,auto,100,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 100}",0.8170750749610161,0.8090828379892513,0.7823954502197661,0.8068725166855519,0.7985162875192042,0.802788433474958,0.011785859204364927,135
2.6106197357177736,0.03508253563130473,0.11928167343139648,0.0010175043931921965,3,auto,150,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 150}",0.8134821159157903,0.8072458710776029,0.7841626522167571,0.810930091599091,0.7956529154646155,0.8022947292547714,0.010928191219101366,138
3.4625593185424806,0.027565247478261768,0.1573843002319336,0.002715908273582488,3,auto,200,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 200}",0.8156855794206953,0.8083803092550743,0.7848129561755006,0.8098907394395174,0.7992279988259341,0.8035995166233445,0.010775466560343564,129
5.335445976257324,0.03458116352075883,0.2383594036102295,0.0010930809376169667,3,auto,300,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 300}",0.8161182801484661,0.8089440994444128,0.7840640054187161,0.8101670296024798,0.7974592316215066,0.8033505292471164,0.011379328247507718,131
8.868122720718384,0.06874551324482549,0.39393911361694334,0.016500830003363463,3,auto,500,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 500}",0.815173486483806,0.8076208080386063,0.7836707370340126,0.8095351889481825,0.7983805031030772,0.802876144721537,0.011019417338756719,134
9.721498584747314,0.11719958044396649,0.42685680389404296,0.006209077171089854,3,auto,550,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 550}",0.8160566918400636,0.8086369491868761,0.7818031737892821,0.8095196270201493,0.7989547112036026,0.8029942306079947,0.011919962842625665,133
2.0778401374816893,0.08191913646398664,0.08457770347595214,0.0004014776207113647,3,6,100,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 100}",0.8258194278274704,0.8110540595003725,0.7866898829532003,0.8173984465503161,0.799751039867997,0.8081425713398712,0.013691273746166249,115
3.0604150772094725,0.03342837372162383,0.12306780815124511,0.00047375691216124355,3,6,150,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 150}",0.8202611819046957,0.8122744839242645,0.7878493784724201,0.8143612329689205,0.7992688531439315,0.8068030260828465,0.011697776027792506,120
4.07690110206604,0.02504601305168697,0.16135849952697753,0.00039416022887001713,3,6,200,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 200}",0.8249778967869631,0.811459460913712,0.7882735069516978,0.8118051203490936,0.7997124331985626,0.8072456836400057,0.012407007017097927,118
6.1892828941345215,0.2183950325647055,0.37577166557312014,0.2733643663299819,3,6,300,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 300}",0.8203163080565421,0.8165852698702083,0.7875527786745669,0.8139572822437874,0.8008154997844901,0.8078454277259188,0.012086967816275775,116
10.121246337890625,0.058802714183440116,0.3911555290222168,0.001323118647326465,3,6,500,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 500}",0.8187886014943672,0.8120108543129224,0.7894695334375719,0.8126251548279959,0.7994075462817283,0.8064603380709171,0.010575713586791734,121
11.117505598068238,0.06305935304047008,0.4290605068206787,0.0017273173511362294,3,6,550,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 550}",0.8200662621620424,0.8124724369240768,0.7858421535176288,0.8139815483010595,0.7995640883934072,0.806385297859643,0.012251324377724221,122
2.541237497329712,0.016683862616031032,0.08577280044555664,0.0006301702690000273,3,8,100,"{'max_depth': 3, 'max_features': 8, 'n_estimators': 100}",0.8357476741511626,0.8171847997417248,0.7921602962991097,0.824194393274715,0.8064519413072853,0.8151478209547994,0.01492908783328409,98
